term,definition,url
Commerce Protocol Layer™,The standardized machine-readable protocols and file formats that enable AI systems to interact with e-commerce stores programmatically.,https://atomfoundry.dev/vocabulary/commerce-protocol-layer
AI Readability™,How cleanly and completely AI systems can extract structured content from a store without relying on JavaScript or visual rendering.,https://atomfoundry.dev/vocabulary/ai-readability
Recommendation Visibility™,Whether a brand is visible to AI systems in the specific moment a buyer submits a purchase-intent query.,https://atomfoundry.dev/vocabulary/recommendation-visibility
Trusted But Invisible™,A store with real authority and trust that AI cannot surface because its content is technically inaccessible.,https://atomfoundry.dev/vocabulary/trusted-but-invisible
Machine Trust Signals™,The specific crawlable signals AI uses to verify merchant trustworthiness before recommending a store to a buyer.,https://atomfoundry.dev/vocabulary/machine-trust-signals
Recommendation Economy™,"The emerging commercial model where AI systems, not search engines, control which brands and products buyers discover and purchase.",https://atomfoundry.dev/vocabulary/recommendation-economy
Recommendation Gap™,The measurable difference between a brand's current Recommendation Share and the share held by the category leader.,https://atomfoundry.dev/vocabulary/recommendation-gap
AI Recommendation Rate™,The percentage of tested buyer prompts in which a merchant receives any form of recommendation from an AI system.,https://atomfoundry.dev/vocabulary/ai-recommendation-rate
Recommendation Authority™,"The cumulative strength of signals supporting a merchant's eligibility, trust, and confidence for AI recommendation.",https://atomfoundry.dev/vocabulary/recommendation-authority
Recommendation Eligibility Score™,A scored measure of how close a store is to meeting the minimum threshold for AI recommendation eligibility.,https://atomfoundry.dev/vocabulary/recommendation-eligibility-score
Buyer Intent Graph™,"The structured map of the real purchase-intent prompts buyers bring to AI, connected to the brands that satisfy each one.",https://atomfoundry.dev/vocabulary/buyer-intent-graph
Buyer Intent Coverage™,The share of a category's buyer intents for which a brand appears in AI recommendations at all.,https://atomfoundry.dev/vocabulary/buyer-intent-coverage
Intent Authority™,"How strongly AI associates a brand with a specific buyer intent, beyond merely appearing for it.",https://atomfoundry.dev/vocabulary/intent-authority
Recommendation Demand™,The volume of real buyer intent flowing to a category or intent cluster through AI systems.,https://atomfoundry.dev/vocabulary/recommendation-demand
Agent Transaction Readiness™,"Whether an AI agent can complete a purchase on a store end to end, not just read it.",https://atomfoundry.dev/vocabulary/agent-transaction-readiness
AI Actionability™,"Whether the data on a store is structured precisely enough for an AI agent to act on it, not just read it.",https://atomfoundry.dev/vocabulary/ai-actionability
ACO™,"The process of optimizing product data, trust signals, and commerce infrastructure so AI systems can discover, evaluate, recommend, and transact products accurately.",https://atomfoundry.dev/vocabulary/aco
GEO™,"Generative Engine Optimization. The practice of structuring content so generative AI systems cite, quote, or recommend it directly inside their answers.",https://atomfoundry.dev/vocabulary/geo
GEO vs SEO™,"A comparison term. SEO optimizes for search engine rankings, GEO optimizes for being cited and recommended inside AI-generated answers.",https://atomfoundry.dev/vocabulary/geo-vs-seo
AI Shopping™,"The behavior of buyers using AI assistants like ChatGPT, Google AI Mode, or Alexa to research, compare, and purchase products instead of searching directly.",https://atomfoundry.dev/vocabulary/ai-shopping
Semantic Commerce™,"Ecommerce content and data described in the language and intent buyers actually use, rather than internal product naming.",https://atomfoundry.dev/vocabulary/semantic-commerce
AI Authority Signals™,"The specific proof points, reviews, citations, and third-party mentions AI systems check to decide whether a brand can be trusted enough to recommend.",https://atomfoundry.dev/vocabulary/ai-authority-signals
AI Commerce Audit™,"A structured scan of a store's product data, trust signals, and technical infrastructure that scores how visible and recommendable it is to AI shopping systems.",https://atomfoundry.dev/vocabulary/ai-commerce-audit
AI Commerce Intelligence™,"The layer of analysis that turns raw AI Commerce Score and Recommendation Graph data into specific, actionable fixes for a merchant.",https://atomfoundry.dev/vocabulary/ai-commerce-intelligence
AI Interpretability™,"How accurately AI systems understand what a store actually sells, beyond simply being able to read the page.",https://atomfoundry.dev/vocabulary/ai-interpretability
AI Readiness™,"How prepared a store's data, structure, and trust signals are for AI systems to read, evaluate, and recommend it right now.",https://atomfoundry.dev/vocabulary/ai-readiness
AI Structured Signals™,"The machine-readable markers, schema, and structured data a store exposes that let AI systems parse its products, pricing, and policies without guessing.",https://atomfoundry.dev/vocabulary/ai-structured-signals
AI Trust Confidence™,How certain an AI system is that a store's trust signals are accurate and current enough to recommend without risk.,https://atomfoundry.dev/vocabulary/ai-trust-confidence
ChatGPT Shopping,"ChatGPT's built-in product search and recommendation feature, which surfaces and compares merchant products directly inside conversational answers.",https://atomfoundry.dev/vocabulary/chatgpt-shopping
ChatGPT Visibility,Whether and how often a brand appears when buyers ask ChatGPT for product recommendations in its category.,https://atomfoundry.dev/vocabulary/chatgpt-visibility
Human View vs AI View™,The gap between what a human sees on a rendered page and what an AI crawler can actually extract from its underlying code.,https://atomfoundry.dev/vocabulary/human-view-vs-ai-view
llms.txt,A plain-text file at a store's root domain that gives AI systems a structured summary of what the site sells and how to interpret it.,https://atomfoundry.dev/vocabulary/llms-txt
Prompt Visibility Testing™,The practice of running real buyer prompts through AI systems to measure whether and how a brand appears in the responses.,https://atomfoundry.dev/vocabulary/prompt-visibility-testing
Retrieval Intelligence™,"How effectively an AI system retrieves the correct, most relevant store content to answer a buyer's query.",https://atomfoundry.dev/vocabulary/retrieval-intelligence
Shopify AI Readiness™,"How prepared a Shopify store specifically is, given the platform's default theme and data structure, for AI shopping agents to read and recommend it.",https://atomfoundry.dev/vocabulary/shopify-ai-readiness
Shopify AI Visibility™,"Whether a Shopify store's products, pages, and trust signals are visible enough for AI shopping systems to discover it in the first place.",https://atomfoundry.dev/vocabulary/shopify-ai-visibility
Unverified Visibility™,"Appearing in AI search results or mentions without the trust signals to back the claim, a fragile, easily lost form of visibility.",https://atomfoundry.dev/vocabulary/unverified-visibility
